Orthogroup	Acaulospora-colombiana-protein	Acaulospora-morrowiae-protein	Ambispora-gerdemannii-protein	Ambispora-leptoticha-protein	Cetraspora-pellucida-protein	Claroideoglomus-candidum-CCK-protein	Claroideoglomus-lamellosum-protein	Dentiscutata-heterogama-protein	Diversispora-eburnea-protein	Diversispora-epigaea-protein	Diversispora-erythropus-protein	Funneliformis-caledonium-protein	Funneliformis-mosseae-protein	Geosiphon-pyriformis-protein	Gigaspora-margarita-BEG34-protein	Gigaspora-rosea-FL-protein	Innospora-majewskii-protein	Paraglomus-brasilianum-protein	Paroglomus-occultum-protein	Racocetra-persica-protein	Rhizophagus-cerebriforme-protein	Rhizophagus-clarus-protein	Rhizophagus-diaphanus-protein	Rhizophagus-fulgida-protein	Rhizophagus-irregularis-protein	Scutellospora-calospora-protein	Septoglomus-turnauae-protein	Total
OG0005998	1	0	1	1	1	1	1	1	0	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	25
OG0005999	2	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	0	1	25
OG0006000	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	0	1	25
OG0006001	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006002	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006003	1	2	0	0	0	3	4	0	2	2	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	25
OG0006004	1	2	1	1	1	1	1	0	1	1	2	1	1	1	1	0	0	0	0	1	2	1	1	1	1	1	1	25
OG0006005	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	25
OG0006006	1	3	0	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	2	2	1	1	1	1	1	1	1	25
OG0006007	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	2	1	1	1	25
OG0006008	1	1	1	1	0	0	1	1	1	1	3	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006009	2	2	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006010	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	25
OG0006011	1	0	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006012	2	1	0	0	0	1	0	0	0	4	0	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	25
OG0006013	1	23	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OG0006014	1	0	1	1	2	1	1	0	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	2	1	25
OG0006015	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	25
OG0006016	1	0	1	1	1	0	0	1	0	0	2	1	1	0	4	1	0	0	0	4	1	1	1	1	1	0	2	25
OG0006017	1	2	0	0	1	0	0	1	0	0	1	0	3	1	0	4	2	4	2	1	0	0	1	0	0	0	1	25
OG0006018	1	1	0	1	1	2	2	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	25
OG0006019	2	1	0	1	1	0	0	0	0	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	25
OG0006020	1	1	2	2	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	25
OG0006021	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	2	1	0	1	0	1	25
OG0006022	1	1	1	1	1	1	1	0	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006023	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	25
OG0006024	1	1	0	0	0	2	1	1	1	1	2	1	1	1	1	0	1	1	2	1	1	1	1	1	1	0	1	25
OG0006025	1	2	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	25
OG0006026	1	1	1	0	1	2	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	25
OG0006027	2	1	2	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	2	25
OG0006028	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	0	1	25
OG0006029	1	2	1	1	0	1	1	0	1	1	1	1	1	2	2	0	1	1	1	0	1	1	1	0	1	1	1	25
OG0006030	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006031	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	25
OG0006032	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	25
OG0006033	1	1	1	1	0	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006034	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	25
OG0006035	1	1	1	0	1	0	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	0	1	1	2	25
OG0006036	1	1	1	0	0	1	2	1	0	1	1	1	0	0	1	1	2	3	2	1	1	1	1	1	0	0	1	25
OG0006037	1	2	2	1	0	1	0	0	1	1	1	1	1	1	2	0	1	1	2	0	1	1	1	1	1	0	1	25
OG0006038	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	0	1	25
OG0006039	1	2	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	25
OG0006040	1	0	1	1	1	0	1	0	1	2	1	0	0	1	1	0	0	1	1	1	2	2	2	1	2	1	1	25
OG0006041	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	1	25
OG0006042	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	25
OG0006043	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	25
OG0006044	0	1	1	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	2	25
OG0006045	0	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	1	25
OG0006046	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	25
OG0006047	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	25
OG0006048	0	2	1	0	1	1	0	1	1	4	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	25
OG0006049	0	1	1	1	0	3	2	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006050	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	2	2	1	1	1	1	1	0	1	1	1	25
OG0006051	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	2	0	1	1	1	1	1	1	2	25
OG0006052	0	1	0	0	0	1	1	2	1	1	1	2	1	0	1	1	1	1	1	0	3	1	1	1	1	1	1	25
OG0006053	0	2	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	25
OG0006054	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006055	0	2	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	25
OG0006056	0	1	1	2	1	1	1	0	1	1	1	1	1	1	1	0	2	1	1	0	1	1	1	2	1	0	1	25
OG0006057	0	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006058	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006059	0	1	1	1	1	1	2	1	2	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	25
OG0006060	0	1	1	1	2	1	1	1	1	1	1	1	0	1	1	0	1	2	0	2	1	1	1	1	1	0	1	25
OG0006061	0	2	0	0	2	0	0	5	0	0	2	0	0	0	3	0	0	0	0	0	3	0	0	1	2	4	1	25
OG0006062	0	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	25
OG0006063	0	1	1	1	0	1	2	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006064	0	1	1	1	0	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	2	1	0	1	1	1	25
OG0006065	0	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	0	1	25
OG0006066	0	1	1	1	0	3	3	0	1	1	2	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	25
OG0006067	0	2	0	0	1	1	1	0	1	1	1	1	1	0	2	0	1	1	1	1	2	1	1	1	1	1	2	25
OG0006068	0	1	1	1	0	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006069	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	0	1	1	1	2	2	0	1	0	1	25
OG0006070	0	2	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	2	25
OG0006071	0	1	1	1	1	3	1	0	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	25
OG0006072	0	1	1	1	1	1	1	1	2	2	2	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	25
OG0006073	0	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	25
OG0006074	0	1	1	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	2	1	0	1	25
OG0006075	0	1	0	0	0	0	0	0	0	0	0	5	4	0	0	0	1	0	1	0	2	2	2	0	2	0	5	25
OG0006076	0	1	1	1	0	1	2	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006077	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	2	1	1	1	0	0	2	1	2	25
OG0006078	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	0	1	0	1	25
OG0006079	0	1	1	2	0	2	2	0	1	2	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	25
OG0006080	0	2	1	1	1	1	1	1	1	2	2	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	2	25
OG0006081	0	1	1	1	1	2	2	2	1	1	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	25
OG0006082	0	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006083	0	1	1	1	0	0	1	1	1	1	1	2	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	25
OG0006084	0	2	1	1	1	0	0	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006085	0	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	0	2	25
OG0006086	0	1	0	0	0	0	0	7	0	0	3	0	0	0	0	4	0	0	0	5	0	0	0	5	0	0	0	25
OG0006087	0	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	25
OG0006088	0	1	1	1	0	1	2	0	1	3	1	1	0	1	1	2	1	1	1	1	1	1	1	0	1	0	1	25
OG0006089	0	1	1	0	0	3	2	0	2	1	0	1	1	2	1	0	1	1	2	1	1	1	1	0	1	0	1	25
OG0006090	0	2	0	0	1	2	2	0	0	0	1	2	3	1	1	0	1	1	1	1	0	1	0	1	1	1	2	25
OG0006091	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	2	2	2	0	2	1	1	25
OG0006092	0	2	1	1	0	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	25
OG0006093	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	25
OG0006094	0	1	0	1	1	1	0	1	0	1	2	1	1	1	5	2	0	1	1	1	1	1	1	0	1	0	0	25
OG0006095	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006096	0	1	1	1	0	0	4	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	3	1	2	0	1	25
OG0006097	0	2	1	1	0	1	1	2	1	1	2	1	1	1	2	0	1	1	1	0	1	1	1	0	1	0	1	25
OG0006098	0	1	0	0	0	4	4	1	2	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	25
OG0006099	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006100	0	2	1	1	0	0	1	0	0	0	1	1	1	2	2	0	1	2	2	0	1	2	1	1	1	1	1	25
OG0006101	0	2	1	1	0	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	0	1	25
OG0006102	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	25
OG0006103	0	2	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006104	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	13	0	0	0	6	0	0	0	0	0	0	0	25
OG0006105	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	1	9	4	4	0	0	0	0	0	0	2	0	25
OG0006106	0	2	1	1	0	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	0	1	0	1	0	1	25
OG0006107	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	16	0	0	0	1	0	2	0	25
OG0006108	0	1	0	0	2	0	0	2	0	0	2	2	2	0	2	2	0	0	0	2	1	1	1	3	1	0	1	25
OG0006109	0	1	1	1	0	2	2	1	0	1	1	1	1	1	2	0	1	1	1	1	1	1	1	0	1	1	1	25
OG0006110	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	2	1	1	1	2	1	1	1	2	1	1	1	25
OG0006111	0	1	1	0	2	1	1	2	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	0	1	0	1	25
OG0006112	0	1	1	1	0	1	1	1	0	1	2	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	25
OG0006113	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006114	0	1	1	1	1	1	1	1	0	0	3	2	3	0	1	1	0	0	0	2	1	1	1	1	1	1	0	25
OG0006115	0	1	1	1	1	1	2	0	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	0	1	25
OG0006116	0	1	1	1	0	1	2	1	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006117	0	2	0	0	1	1	1	0	3	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	0	1	25
OG0006118	0	2	1	1	0	1	2	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	2	0	1	2	1	25
OG0006119	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	25
OG0006120	0	3	1	1	1	1	2	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	25
OG0006121	0	2	1	1	0	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	0	1	25
OG0006122	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	0	1	25
OG0006123	0	3	1	1	0	1	1	1	1	1	2	1	1	1	1	0	1	1	2	1	0	1	1	0	1	0	1	25
OG0006124	0	2	1	1	1	1	1	0	1	1	1	1	1	1	2	0	1	1	0	1	1	1	1	1	2	0	1	25
OG0006125	0	1	1	1	1	2	2	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	25
OG0006126	0	1	0	0	0	2	2	2	1	3	4	0	0	0	1	3	0	0	0	1	0	0	1	1	2	1	0	25
OG0006127	0	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	25
OG0006128	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	25
OG0006129	0	2	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	25
OG0006130	0	1	1	1	1	1	1	0	1	1	1	1	1	1	3	1	1	1	1	0	1	2	1	1	1	0	0	25
OG0006131	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	25
OG0006132	0	1	1	1	0	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	25
OG0006133	0	1	1	1	1	1	1	0	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	2	1	1	25
OG0006134	0	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	25
OG0006135	0	3	0	0	0	1	2	0	1	4	0	1	1	0	0	0	1	1	2	0	1	1	2	0	1	0	3	25
OG0006136	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	0	1	1	1	25
OG0006137	0	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	25
OG0006138	0	1	1	1	2	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	3	25
OG0006139	0	2	1	1	0	2	2	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	25
OG0006140	0	1	1	1	1	0	2	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	25
OG0006141	0	0	1	1	0	1	1	2	0	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	25
OG0006142	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	25
OG0006143	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	25
OG0006144	0	0	1	1	1	2	1	1	0	1	1	1	1	1	2	1	1	1	0	2	1	1	1	0	1	1	1	25
OG0006145	0	0	1	1	0	3	2	0	0	1	1	1	1	1	1	0	1	1	1	1	2	2	1	0	2	0	1	25
OG0006146	0	0	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006147	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	25
OG0006148	0	0	10	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OG0006149	0	0	2	4	0	2	2	0	0	0	0	1	1	1	0	0	3	2	2	0	1	1	1	0	1	0	1	25
OG0006150	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25
OG0006151	0	0	1	1	2	1	2	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	0	1	0	1	25
OG0006152	0	0	1	1	0	0	1	0	1	1	1	1	2	1	2	1	1	0	1	3	1	2	1	1	1	0	1	25
OG0006153	0	0	7	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	7	0	0	0	6	0	0	0	25
OG0006154	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	1	1	0	1	10	0	0	0	4	0	0	0	25
OG0006155	0	0	1	1	1	2	1	3	0	0	0	0	0	0	2	5	0	0	0	5	0	2	0	1	0	1	0	25
OG0006156	0	0	1	5	1	3	3	0	0	0	0	1	0	0	1	0	0	1	0	5	0	0	0	0	0	4	0	25
OG0006157	0	0	1	3	2	0	7	0	0	0	0	0	0	0	1	0	6	1	0	3	0	0	0	0	0	0	1	25
OG0006158	0	0	1	1	1	2	2	1	1	1	0	1	1	2	1	0	1	1	1	1	1	1	1	1	1	0	1	25
OG0006159	0	0	1	3	1	2	7	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	2	0	0	2	25
OG0006160	0	0	2	3	2	0	7	0	0	0	0	0	0	0	0	0	4	1	0	2	1	0	0	0	0	0	3	25
OG0006161	0	0	1	0	0	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	0	1	25
OG0006162	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	3	3	3	1	1	1	1	1	1	0	0	25
OG0006163	0	0	1	0	0	1	1	0	0	0	2	0	0	0	6	2	0	0	0	3	3	1	1	2	1	0	1	25
OG0006164	0	0	1	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	2	3	0	2	1	0	5	25
OG0006165	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	12	4	2	0	1	0	0	25
OG0006166	0	0	0	3	14	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	3	0	25
OG0006167	0	0	0	1	0	2	0	1	2	7	1	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	5	25
OG0006168	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OG0006169	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	5	3	0	1	3	3	25
OG0006170	0	0	0	0	4	0	0	0	0	0	2	0	0	0	7	3	0	0	0	3	0	0	0	3	0	3	0	25
OG0006171	0	0	0	0	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	7	1	2	3	5	0	0	0	25
OG0006172	0	0	0	0	5	0	0	4	0	0	10	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	25
OG0006173	0	0	0	0	2	0	0	1	0	0	5	0	0	0	1	6	0	0	0	7	0	0	0	3	0	0	0	25
OG0006174	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	10	0	0	0	10	0	0	0	3	0	0	0	25
OG0006175	0	0	0	0	2	0	0	0	0	0	0	1	5	0	1	1	0	0	0	3	2	2	1	2	3	0	2	25
OG0006176	0	0	0	0	3	1	0	3	0	0	6	0	0	0	1	3	0	0	0	3	0	0	0	3	0	2	0	25
OG0006177	0	0	0	0	1	0	0	1	0	0	4	0	0	0	5	4	0	0	0	5	0	0	0	4	0	1	0	25
OG0006178	0	0	0	0	2	0	0	0	0	0	8	0	0	0	4	3	0	0	0	3	0	0	0	5	0	0	0	25
OG0006179	0	0	0	0	2	0	1	3	0	0	5	0	0	0	0	1	0	0	0	3	0	0	1	6	1	2	0	25
OG0006180	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	7	0	0	0	5	1	0	0	3	0	3	0	25
OG0006181	0	0	0	0	4	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	25
OG0006182	0	0	0	0	1	0	0	3	0	0	5	0	0	0	2	4	0	0	0	7	0	0	0	3	0	0	0	25
OG0006183	0	0	0	0	2	0	0	2	0	0	2	1	2	0	2	1	1	1	1	1	1	1	1	2	1	2	1	25
OG0006184	0	0	0	0	0	3	5	0	0	0	1	0	0	4	0	0	7	3	2	0	0	0	0	0	0	0	0	25
OG0006185	0	0	0	0	0	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OG0006186	0	0	0	0	0	3	5	4	0	0	0	0	1	0	0	4	0	0	0	3	1	1	1	1	1	0	0	25
OG0006187	0	0	0	0	0	1	1	1	1	1	1	1	1	0	3	4	0	0	0	2	2	1	1	1	1	1	1	25
OG0006188	0	0	0	0	0	0	1	2	0	1	3	0	0	0	5	6	0	0	0	5	0	0	0	0	0	2	0	25
OG0006189	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	2	0	0	0	0	1	3	4	0	5	0	4	25
OG0006190	0	0	0	0	0	0	0	1	0	9	4	0	0	0	2	1	0	0	0	2	0	0	0	6	0	0	0	25
OG0006191	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	19	2	1	1	0	0	25
OG0006192	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OG0006193	0	0	0	0	0	0	0	0	0	1	0	5	3	0	0	0	0	0	0	0	4	4	2	0	4	0	2	25
OG0006194	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	25
OG0006195	0	0	0	0	0	0	0	0	0	0	1	4	8	0	0	0	0	0	0	0	0	11	0	0	0	1	0	25
OG0006196	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	4	4	5	0	6	0	2	25
OG0006197	0	0	0	0	0	0	0	0	0	0	0	15	2	0	0	0	0	0	0	0	0	1	3	0	3	0	1	25
OG0006198	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	6	0	0	6	0	0	25
OG0006199	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OG0006200	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	1	0	0	0	0	25
OG0006201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	3	0	0	0	0	25
OG0006202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	25
OG0006203	1	3	1	1	0	0	0	2	0	0	1	1	1	1	1	2	0	0	1	0	1	1	1	1	1	1	2	24
OG0006204	1	2	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	24
OG0006205	1	2	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	0	1	24
OG0006206	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24
OG0006207	1	1	1	0	1	1	1	0	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	24
OG0006208	2	2	0	0	0	1	1	1	1	1	1	1	1	0	2	1	1	1	1	0	1	1	1	0	1	1	1	24
OG0006209	1	1	1	1	0	0	0	0	2	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	24
OG0006210	2	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	24
OG0006211	1	1	1	0	1	1	1	1	1	1	2	0	1	0	2	1	1	1	1	0	1	1	1	1	1	0	1	24
OG0006212	1	2	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	2	0	0	1	1	0	1	2	24
OG0006213	1	1	0	0	1	1	2	1	1	1	1	1	1	1	2	1	0	1	0	1	1	1	1	1	1	0	1	24
OG0006214	1	2	0	0	0	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	0	1	24
OG0006215	1	1	1	1	2	0	1	2	1	1	2	1	1	1	2	0	0	0	0	0	1	1	1	1	1	0	1	24
